state,city,name,avg_score,price,stars,reviews_url
Montana,Billings,Hilltop Inn by Riversage,84,218.664,2,https://www.booking.com/hotel/us/hilltop-inn-by-riversage.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=5c4d16f048500215&srepoch=1702091756&all_sr_blocks=112660804_195671333_0_1_0&highlighted_blocks=112660804_195671333_0_1_0&matching_block_id=112660804_195671333_0_1_0&sr_pri_blocks=112660804_195671333_0_1_0__60060&from=searchresults#hotelTmpl
Montana,Billings,Riversage Billings Inn,83,293.871,2,https://www.booking.com/hotel/us/riversage-billings-inn.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=5c4d16f048500215&srepoch=1702091756&all_sr_blocks=112658103_195671151_0_1_0&highlighted_blocks=112658103_195671151_0_1_0&matching_block_id=112658103_195671151_0_1_0&sr_pri_blocks=112658103_195671151_0_1_0__80717&from=searchresults#hotelTmpl
Montana,Billings,Ledgestone Hotel Billings,87,248.682,3,https://www.booking.com/hotel/us/ledgestone-billings.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=5c4d16f048500215&srepoch=1702091756&all_sr_blocks=139677003_90037300_2_0_0&highlighted_blocks=139677003_90037300_2_0_0&matching_block_id=139677003_90037300_2_0_0&sr_pri_blocks=139677003_90037300_2_0_0__68305&from=searchresults#hotelTmpl
Montana,Billings,Northern Hotel,87,414.533,4,https://www.booking.com/hotel/us/northern.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=5c4d16f048500215&srepoch=1702091756&all_sr_blocks=54787501_353346623_2_0_0&highlighted_blocks=54787501_353346623_2_0_0&matching_block_id=54787501_353346623_2_0_0&sr_pri_blocks=54787501_353346623_2_0_0__113859&from=searchresults#hotelTmpl
Montana,Billings,Billings Apartment with Fireplace and Smart TV,80,183.13,3,https://www.booking.com/hotel/us/billings-apartment-with-fireplace-and-smart-tv.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=5c4d16f048500215&srepoch=1702091756&all_sr_blocks=963479302_381961373_4_0_0&highlighted_blocks=963479302_381961373_4_0_0&matching_block_id=963479302_381961373_4_0_0&sr_pri_blocks=963479302_381961373_4_0_0__50300&from=searchresults#hotelTmpl
Montana,Billings,"Big Horn Resort, Ascend Hotel Collection",70,305.317,3,https://www.booking.com/hotel/us/big-horn-resort.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=5c4d16f048500215&srepoch=1702091756&all_sr_blocks=31268302_94404622_4_0_0&highlighted_blocks=31268302_94404622_4_0_0&matching_block_id=31268302_94404622_4_0_0&sr_pri_blocks=31268302_94404622_4_0_0__83861&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Montana,Billings,Extended Stay America Suites - Billings - West End,72,221.336,2,https://www.booking.com/hotel/us/hotel-southgate-drive-billings.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=5c4d16f048500215&srepoch=1702091756&all_sr_blocks=51703709_91843097_2_1_0&highlighted_blocks=51703709_91843097_2_1_0&matching_block_id=51703709_91843097_2_1_0&sr_pri_blocks=51703709_91843097_2_1_0__60794&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Montana,Billings,Best Western Plus Clocktower Inn,83,301.418,3,https://www.booking.com/hotel/us/best-western-clocktower-inn.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=5c4d16f048500215&srepoch=1702091756&all_sr_blocks=7566507_374358421_2_1_0&highlighted_blocks=7566507_374358421_2_1_0&matching_block_id=7566507_374358421_2_1_0&sr_pri_blocks=7566507_374358421_2_1_0__82790&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Montana,Billings,Quality Inn Homestead Park Billings,79,338.335,3,https://www.booking.com/hotel/us/hotel-overland-ave-billings.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=5c4d16f048500215&srepoch=1702091756&all_sr_blocks=49056303_190190646_2_1_0&highlighted_blocks=49056303_190190646_2_1_0&matching_block_id=49056303_190190646_2_1_0&sr_pri_blocks=49056303_190190646_2_1_0__92930&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Montana,Billings,"Motel 6-Billings, MT - South",41,174.734,2,https://www.booking.com/hotel/us/billings-5400-midland-road.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=5c4d16f048500215&srepoch=1702091756&all_sr_blocks=36908809_244943208_2_0_0&highlighted_blocks=36908809_244943208_2_0_0&matching_block_id=36908809_244943208_2_0_0&sr_pri_blocks=36908809_244943208_2_0_0__47994&from=searchresults#hotelTmpl
